# Results of the simulations. Done for the three-param LD law with:
# Period = 1.0, t0 = 0.0, b = 0.3, N = 1000 and n_try = 100
#
# gnum 	 input_p 	 input_a 	 input_teff 	 p_fixed 	 sigma_p_fixed 	 p_float 	 sigma_p_float 	 a_fixed 	 sigma_a_fixed 	 a_float 	 sigma_a_float	 i_fixed 	 sigma_i_fixed 	 i_float 	 sigma_i_float
0	0.01	3.27	3500.0	0.00996402394411	3.37815471963e-07	0.0100136456813	1.50793283586e-07	3.31993126474	0.000437774876212	3.2556542913	0.000180729435408	85.8050044505	0.0103116074414	84.4472365651	0.00346298241176
0	0.01	3.27	3750.0	0.00995561723167	3.51040495335e-07	0.0100142675887	2.37190121201e-07	3.33005957299	0.000446265092616	3.25508721314	0.000269935245403	86.0501682993	0.0111227477448	84.4360826789	0.00511621846129
0	0.01	3.27	4000.0	0.00994423235267	9.30280940566e-08	0.0100175276477	1.74493482723e-07	3.33322532441	0.000101039518267	3.25382999904	0.000197676111738	86.1330432527	0.00253495817296	84.4111971843	0.00365832913301
0	0.01	3.27	4250.0	0.00993296312456	6.70981856132e-08	0.0100243252854	3.19524242399e-07	3.3350574764	6.24324904301e-05	3.25018492834	0.000273095199215	86.183948169	0.00157169217936	84.3398156705	0.00521026482836
0	0.01	3.27	4500.0	0.00992499579895	1.05872783717e-07	0.0100230225606	4.00350230958e-07	3.34264291098	9.74153847753e-05	3.25135469778	0.000400499608947	86.3831635789	0.00263868454552	84.3624968782	0.00743156555197
0	0.01	3.27	4750.0	0.00992575294902	1.45238097695e-07	0.0100134694106	5.61404156235e-07	3.34593176929	0.00014407373248	3.2591826243	0.000550668614313	86.4703426295	0.00391120933048	84.5144080153	0.0105794945988
0	0.01	3.27	5000.0	0.00992705312197	1.6683122482e-07	0.0100091435682	3.97602211253e-07	3.34962327822	0.000173077623748	3.26267461575	0.000404506797377	86.5705517933	0.00492534762934	84.5834371721	0.00785456607268
0	0.01	3.27	5250.0	0.00993320802534	2.08449610347e-07	0.0100085784605	3.0019872329e-07	3.34860801034	0.000237007962178	3.26264001137	0.0003268120201	86.5399624223	0.00659882882649	84.5833197735	0.00638374144854
0	0.01	3.27	5500.0	0.00994543098006	2.84794126798e-07	0.0100107410371	3.6484438573e-07	3.33952434891	0.000346183369755	3.25953368226	0.000455076485076	86.2930920657	0.00910916022914	84.5230623442	0.00875032110732
0	0.01	3.27	5750.0	0.00995941786628	2.94952899646e-07	0.0100120296751	1.87438270114e-07	3.32593207876	0.000384503875224	3.25709687983	0.000226456397375	85.9496191372	0.00934610986764	84.4763239943	0.00438492792082
