# Results of the simulations. Done for the linear LD law with:
# Period = 1.0, t0 = 0.0, b = 0.3, N = 1000 and n_try = 100
#
# gnum 	 input_p 	 input_a 	 input_teff 	 p_fixed 	 sigma_p_fixed 	 p_float 	 sigma_p_float 	 a_fixed 	 sigma_a_fixed 	 a_float 	 sigma_a_float	 i_fixed 	 sigma_i_fixed 	 i_float 	 sigma_i_float
0	0.01	3.27	3500.0	0.0105275329399	2.63544181867e-06	0.0103600888608	4.49127892108e-05	2.75372659651	0.00223773959345	2.9064971274	0.042553104384	76.9611901248	0.0308697450577	79.0419242571	0.58347892793
0	0.01	3.27	3750.0	0.0104955142697	1.48972411403e-06	0.0102625003633	1.23127979611e-05	2.78030662062	0.00123366296164	3.00220142085	0.0126198320022	77.3292474137	0.0169169082895	80.3744821795	0.17778411118
0	0.01	3.27	4000.0	0.0103995152426	3.36110828325e-06	0.0102434540206	1.11612288364e-05	2.89885906566	0.0027163327278	3.04111334375	0.0103147998065	78.9672783458	0.03790098771	80.9496879602	0.148729714893
0	0.01	3.27	4250.0	0.0102214409835	8.56532038644e-07	0.0101039208764	2.00076736076e-06	3.07470853514	0.000696037739818	3.18112330084	0.00180344224646	81.4762266008	0.010323658543	83.1141350158	0.0296331388337
0	0.01	3.27	4500.0	0.0101660989831	7.24200307512e-07	0.0100786675005	2.12386903423e-06	3.12242551756	0.00059087323104	3.20305636908	0.00194013527227	82.198154848	0.00919628974689	83.4877624856	0.032941562615
0	0.01	3.27	4750.0	0.0102046095501	8.8999692988e-07	0.0101172640383	2.28794315712e-06	3.08453226181	0.000751347925988	3.16603971472	0.00213091699611	81.6175551803	0.0112262176969	82.8669719289	0.0342401223689
0	0.01	3.27	5000.0	0.0102524714678	2.53834850032e-06	0.0101632617671	2.52888896457e-06	3.03509233625	0.00214858728737	3.11942660993	0.00237270151518	80.8864828336	0.0312156152446	82.1269073528	0.0361943548988
0	0.01	3.27	5250.0	0.0102791571231	7.09812244242e-06	0.0102022467057	8.63237376435e-06	2.99953850699	0.00618462373629	3.07505565071	0.00842864176176	80.37294234	0.0886478372847	81.4533646768	0.123799741331
0	0.01	3.27	5500.0	0.0103203762893	6.00465883394e-06	0.0102257753776	7.61910183989e-06	2.94710278484	0.00541370996224	3.04153115932	0.00763796547114	79.6332188872	0.075891713573	80.9592244055	0.110130405015
0	0.01	3.27	5750.0	0.0103423335622	1.53966140075e-06	0.0102371050962	1.46727738657e-05	2.90927492445	0.00144641054603	3.01786285664	0.0151823534033	79.1065826819	0.0200714860741	80.615494093	0.217013328057
0	0.01	3.27	6000.0	0.0103570424515	2.19115187411e-06	0.0102343754323	9.16401063886e-06	2.87554885596	0.00216986707571	3.00727250135	0.0103503020908	78.6411481528	0.0298254784452	80.4617790521	0.145706831099
0	0.01	3.27	6250.0	0.0103591381142	1.64234283305e-06	0.0102258767071	6.93077098992e-06	2.85493833737	0.0016737498861	3.0041817781	0.00819878392542	78.3584761785	0.0230018023888	80.4163897027	0.115642008134
0	0.01	3.27	6500.0	0.0103530733803	1.30630615319e-06	0.0102161361586	6.15200617458e-06	2.84452708966	0.00137674563305	3.00435080343	0.00765323523573	78.2167381749	0.018959928832	80.4188359944	0.107924344875
0	0.01	3.27	6750.0	0.0103484126769	4.07749957237e-06	0.0102086296081	7.75884686413e-06	2.83583133925	0.0044994465923	3.0046311345	0.0099981517035	78.0982755846	0.0616036248865	80.4216577128	0.140144626089
