# Results of the simulations. Done for the quadratic LD law with:
# Period = 1.0, t0 = 0.0, b = 0.8, N = 1000 and n_try = 100
#
# gnum 	 input_p 	 input_a 	 input_teff 	 p_fixed 	 sigma_p_fixed 	 p_float 	 sigma_p_float 	 a_fixed 	 sigma_a_fixed 	 a_float 	 sigma_a_float	 i_fixed 	 sigma_i_fixed 	 i_float 	 sigma_i_float
0	0.01	3.27	3500.0	0.010055605686	2.46591636679e-07	0.00997044458229	2.05007942236e-06	3.22091196222	0.000291907391612	3.22714753037	0.00199795419378	75.4881032662	0.00214412100988	75.5197938792	0.0147514315025
0	0.01	3.27	3750.0	0.0100681739586	1.55104636284e-06	0.00997095065162	8.53882038901e-07	3.20592665474	0.00181524507431	3.22534028342	0.000786621158602	75.377544151	0.0134672500194	75.5063232417	0.00580741644447
0	0.01	3.27	4000.0	0.0101116455953	3.15297961636e-07	0.00998548785017	1.84366589726e-06	3.15942576457	0.000333607792742	3.2310654953	0.00165090665771	75.0289656659	0.00253845225432	75.5486379781	0.0121482081814
0	0.01	3.27	4250.0	0.0101062848069	2.4268492791e-07	0.0100135172984	3.01964890439e-07	3.16441995799	0.000236253318933	3.24324055646	0.000199323595864	75.0660633444	0.00179295667603	75.6386424074	0.00146748680986
0	0.01	3.27	4500.0	0.0100751698148	9.15424175288e-08	0.0100238957838	2.2481617568e-07	3.1907234699	9.08500428768e-05	3.25047428887	0.000165445809637	75.2633791215	0.000678607056333	75.6921887663	0.00120280924508
0	0.01	3.27	4750.0	0.0100610199903	1.88520874856e-07	0.0100215806473	3.75996697852e-07	3.20313708309	0.000180826550735	3.25238561996	0.000280675196302	75.3554444916	0.00134434950611	75.7066228378	0.0020411723833
0	0.01	3.27	5000.0	0.0100553415198	2.05549479774e-07	0.0100175697908	2.79488201489e-07	3.20803128054	0.00021762905472	3.25180433368	0.000222525610301	75.391634639	0.00162087665834	75.7025439157	0.00161591913608
0	0.01	3.27	5250.0	0.0100532765141	2.51111886964e-07	0.0100109640453	2.49184590916e-07	3.21001288075	0.000274155322102	3.24980214868	0.000195715684742	75.4062257851	0.00205165054592	75.6879882502	0.0014264289635
0	0.01	3.27	5500.0	0.0100526506205	2.2616823055e-07	0.0100018355828	1.66615615732e-07	3.2114641824	0.000265965467724	3.24705134744	0.0001485732548	75.4167686502	0.00197147160766	75.6679630285	0.00108290674122
0	0.01	3.27	5750.0	0.0100536787861	6.23141212432e-07	0.00999037092108	2.54965123565e-07	3.21211208773	0.00076785341307	3.24370016073	0.000223274581148	75.4212975525	0.00568727495311	75.6435162468	0.00163162946097
0	0.01	3.27	6000.0	0.0100558367512	2.2643093415e-07	0.0099763710517	2.15996283973e-07	3.21243361309	0.000292552498076	3.23907005998	0.000197420525541	75.4234601225	0.00216774328381	75.6095500439	0.00144519109053
